Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-5,66,-2381.62,5451.84,-6113.47,11923.7
-4,66,-2385.72,5461.67,-6113.13,11937.7
-3,66,-2388.89,5469.34,-6110.81,11947.5
-2,66,-2391.12,5474.86,-6106.5,11953.2
-1,66,-2392.41,5478.22,-6100.22,11954.6
0,66,-2392.74,5479.4,-6091.95,11952
1,66,-2392.11,5478.42,-6081.71,11945.1
2,66,-2390.52,5475.28,-6069.51,11934.1
3,66,-2387.96,5469.97,-6055.36,11919
4,66,-2384.44,5462.5,-6039.27,11899.7
5,66,-2379.94,5452.89,-6021.26,11876.4
6,66,-2374.48,5441.13,-6001.37,11849
7,66,-2368.05,5427.25,-5979.61,11817.6
8,66,-2360.66,5411.25,-5956.02,11782.3
9,66,-2352.3,5393.15,-5930.62,11743
10,66,-2342.98,5372.97,-5903.45,11699.9
11,66,-2332.71,5350.73,-5874.55,11653.1
12,66,-2321.5,5326.44,-5843.96,11602.5
13,66,-2309.35,5300.14,-5811.72,11548.4
14,66,-2296.28,5271.85,-5777.89,11490.7
15,66,-2282.29,5241.6,-5742.5,11429.6
16,66,-2267.39,5209.41,-5705.61,11365.1
17,66,-2251.6,5175.31,-5667.27,11297.4
18,66,-2234.93,5139.34,-5627.53,11226.6
19,66,-2217.41,5101.52,-5586.46,11152.7
20,66,-2199.03,5061.9,-5544.1,11075.9
21,66,-2179.83,5020.51,-5500.53,10996.3
22,66,-2159.82,4977.38,-5455.79,10914.1
23,66,-2139.02,4932.56,-5409.95,10829.3
24,66,-2117.44,4886.08,-5363.08,10742
25,66,-2095.12,4837.98,-5315.24,10652.5
26,66,-2072.08,4788.3,-5266.49,10560.8
27,66,-2048.32,4737.08,-5216.89,10467.1
28,66,-2023.89,4684.37,-5166.53,10371.5
29,66,-1998.8,4630.21,-5115.45,10274.2
30,66,-1973.08,4574.64,-5063.73,10175.2
31,66,-1946.75,4517.69,-5011.44,10074.8
32,66,-1919.84,4459.43,-4958.64,9973.02
33,66,-1892.38,4399.88,-4905.4,9870.09
34,66,-1864.38,4339.1,-4851.78,9766.11
35,66,-1835.88,4277.11,-4797.85,9661.25
36,66,-1806.89,4213.98,-4743.68,9555.63
37,66,-1777.46,4149.74,-4689.33,9449.4
38,66,-1747.6,4084.42,-4634.87,9342.71
39,66,-1717.34,4018.08,-4580.35,9235.69
40,66,-1686.7,3950.76,-4525.86,9128.48
41,66,-1655.71,3882.49,-4471.43,9021.23
42,66,-1624.39,3813.32,-4417.15,8914.07
43,66,-1592.77,3743.28,-4363.06,8807.13
44,66,-1560.87,3672.42,-4309.23,8700.55
45,66,-1528.72,3600.76,-4255.72,8594.45
46,66,-1496.33,3528.36,-4202.59,8488.97
47,66,-1463.72,3455.24,-4149.88,8384.23
48,66,-1430.92,3381.45,-4097.66,8280.35
49,66,-1397.95,3307,-4045.99,8177.44
50,66,-1364.82,3231.95,-3994.91,8075.63
51,66,-1331.56,3156.31,-3944.47,7975.03
52,66,-1298.18,3080.13,-3894.74,7875.74
53,66,-1264.69,3003.44,-3845.76,7777.87
54,66,-1231.11,2926.25,-3797.57,7681.52
55,66,-1197.45,2848.61,-3750.24,7586.8
56,66,-1163.73,2770.53,-3703.79,7493.78
57,66,-1129.95,2692.05,-3658.29,7402.56
58,66,-1096.13,2613.19,-3613.78,7313.24
59,66,-1062.28,2533.98,-3570.3,7225.88
60,66,-1028.41,2454.44,-3527.89,7140.57
61,66,-994.51,2374.58,-3486.6,7057.38
62,66,-960.601,2294.45,-3446.47,6976.39
63,66,-926.683,2214.04,-3407.54,6897.65
64,66,-892.761,2133.4,-3369.85,6821.23
65,66,-858.836,2052.52,-3333.44,6747.19
66,66,-824.911,1971.45,-3298.34,6675.59
67,66,-790.986,1890.18,-3264.6,6606.47
68,66,-757.06,1808.73,-3232.26,6539.88
69,66,-723.132,1727.14,-3201.34,6475.86
70,66,-689.2,1645.4,-3171.88,6414.47
71,66,-655.261,1563.53,-3143.92,6355.73
72,66,-621.311,1481.55,-3117.49,6299.67
73,66,-587.345,1399.48,-3092.62,6246.34
74,66,-553.357,1317.32,-3069.34,6195.75
75,66,-519.342,1235.08,-3047.68,6147.94
76,66,-485.293,1152.79,-3027.68,6102.92
77,66,-451.201,1070.44,-3009.35,6060.72
78,66,-417.06,988.059,-2992.73,6021.35
79,66,-382.86,905.647,-2977.84,5984.83
80,66,-348.593,823.218,-2964.71,5951.17
81,66,-314.25,740.781,-2953.35,5920.39
82,66,-279.819,658.345,-2943.8,5892.48
83,66,-245.292,575.921,-2936.07,5867.47
84,66,-210.658,493.517,-2930.18,5845.36
85,66,-175.906,411.142,-2926.15,5826.14
86,66,-141.025,328.804,-2923.99,5809.82
87,66,-106.005,246.513,-2923.72,5796.41
88,66,-70.835,164.276,-2925.35,5785.89
89,66,-35.5036,82.1026,-2928.9,5778.28
90,66,2.70404e-13,2.25784e-13,-2934.37,5773.56
-90,67,-4.49138e-13,3.77913e-13,-3767.8,6087.42
-89,67,-37.849,77.3215,-3761.93,6093.09
-88,67,-75.5277,154.724,-3757.87,6101.71
-87,67,-113.038,232.205,-3755.63,6113.27
-86,67,-150.382,309.761,-3755.19,6127.78
-85,67,-187.562,387.389,-3756.53,6145.24
-84,67,-224.58,465.083,-3759.64,6165.64
-83,67,-261.438,542.842,-3764.5,6188.98
-82,67,-298.137,620.659,-3771.09,6215.25
-81,67,-334.68,698.531,-3779.4,6244.45
-80,67,-371.068,776.454,-3789.4,6276.55
-79,67,-407.303,854.42,-3801.06,6311.55
-78,67,-443.385,932.425,-3814.37,6349.43
-77,67,-479.315,1010.46,-3829.29,6390.18
-76,67,-515.093,1088.53,-3845.8,6433.77
-75,67,-550.721,1166.61,-3863.87,6480.18
-74,67,-586.198,1244.7,-3883.47,6529.39
-73,67,-621.523,1322.79,-3904.56,6581.36
-72,67,-656.696,1400.87,-3927.12,6636.07
-71,67,-691.715,1478.93,-3951.1,6693.49
-70,67,-726.578,1556.96,-3976.48,6753.57
-69,67,-761.284,1634.95,-4003.22,6816.28
-68,67,-795.831,1712.89,-4031.27,6881.58
-67,67,-830.214,1790.75,-4060.6,6949.42
-66,67,-864.431,1868.53,-4091.18,7019.74
-65,67,-898.477,1946.21,-4122.94,7092.51
-64,67,-932.35,2023.77,-4155.87,7167.65
-63,67,-966.043,2101.19,-4189.9,7245.12
-62,67,-999.552,2178.45,-4225.01,7324.84
-61,67,-1032.87,2255.54,-4261.13,7406.75
-60,67,-1065.99,2332.43,-4298.23,7490.78
-59,67,-1098.91,2409.09,-4336.25,7576.86
-58,67,-1131.63,2485.51,-4375.15,7664.9
-57,67,-1164.12,2561.65,-4414.88,7754.82
-56,67,-1196.39,2637.49,-4455.39,7846.54
-55,67,-1228.43,2713.01,-4496.62,7939.96
-54,67,-1260.23,2788.16,-4538.53,8034.98
-53,67,-1291.77,2862.93,-4581.05,8131.52
-52,67,-1323.06,2937.28,-4624.14,8229.46
-51,67,-1354.08,3011.18,-4667.74,8328.7
-50,67,-1384.82,3084.58,-4711.79,8429.14
-49,67,-1415.28,3157.47,-4756.23,8530.64
-48,67,-1445.43,3229.8,-4801,8633.1
-47,67,-1475.28,3301.53,-4846.05,8736.4
-46,67,-1504.8,3372.63,-4891.32,8840.41
